# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalBytesRead,1772679770511000000,1772679778118000000,0
FilePageCache.totalPageLoadsUs,1772679770511000000,1772679778118000000,106866
FilePageCacheLockFree.housekeeperTurnsSkipped,1772679770511000000,1772679778118000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1772679770511000000,1772679778118000000,4441
FilePageCache.uncachedFileAccess,1772679770511000000,1772679778118000000,123
FilePageCache.maxCacheSizeInBytes,1772679770511000000,1772679778118000000,197132288
FilePageCache.capacityInBytes,1772679770511000000,1772679778118000000,503316478
FilePageCacheLockFree.totalHeapBytesReclaimed,1772679770511000000,1772679778118000000,0
FilePageCache.totalPageDisposalsUs,1772679770511000000,1772679778118000000,686
FilePageCache.pageLoadsAboveSizeThreshold,1772679770511000000,1772679778118000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1772679770511000000,1772679778118000000,0
FilePageCacheLockFree.totalPagesHandedOver,1772679770511000000,1772679778118000000,0
FilePageCache.pageFastCacheHits,1772679770511000000,1772679778118000000,3776
FilePageCacheLockFree.totalClosedStoragesReclaimed,1772679770511000000,1772679778118000000,0
FilePageCache.disposedBuffers,1772679770511000000,1772679778118000000,191
FilePageCacheLockFree.totalNativeBytesAllocated,1772679770511000000,1772679778118000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1772679770511000000,1772679778118000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772679770511000000,1772679778118000000,41943040
DirectByteBufferAllocator.misses,1772679770511000000,1772679778118000000,188
FilePageCache.pageHits,1772679770511000000,1772679778118000000,0
FilePageCacheLockFree.totalBytesRequested,1772679770511000000,1772679778118000000,0
MappedFileStorage.totalPagesMapped,1772679770511000000,1772679778118000000,0
FilePageCacheLockFree.totalPagesAllocated,1772679770511000000,1772679778118000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1772679770511000000,1772679778118000000,0
FilePageCacheLockFree.totalPagesWritten,1772679770511000000,1772679778118000000,0
FilePageCacheLockFree.totalPagesReclaimed,1772679770511000000,1772679778118000000,0
MappedFileStorage.totalBytesMapped,1772679770511000000,1772679778118000000,0
MappedFileStorage.storages,1772679770511000000,1772679778118000000,0
FilePageCache.pageLoads,1772679770511000000,1772679778118000000,191
FilePageCacheLockFree.totalPagesWriteMs,1772679770511000000,1772679778118000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1772679770511000000,1772679778118000000,0
FilePageCacheLockFree.nativeBytesInUse,1772679770511000000,1772679778118000000,0
