# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesRequested,1772679329448000000,1772679337336000000,0
FilePageCacheLockFree.totalPagesHandedOver,1772679329448000000,1772679337336000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1772679329448000000,1772679337336000000,0
FilePageCacheLockFree.totalBytesRequested,1772679329448000000,1772679337336000000,0
FilePageCache.pageLoads,1772679329448000000,1772679337336000000,191
FilePageCacheLockFree.heapBytesInUse,1772679329448000000,1772679337336000000,0
FilePageCache.totalPageLoadsUs,1772679329448000000,1772679337336000000,100112
MappedFileStorage.totalTimeSpentOnMappingUs,1772679329448000000,1772679337336000000,11940
FileChannelInterruptsRetryer.totalRetriedAttempts,1772679329448000000,1772679337336000000,0
FilePageCache.disposedBuffers,1772679329448000000,1772679337336000000,191
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772679329448000000,1772679337336000000,41943040
StorageLockContext.competingThreads.90P,1772679329448000000,1772679337336000000,0
FilePageCache.uncachedFileAccess,1772679329448000000,1772679337336000000,123
FilePageCacheLockFree.totalPagesWritten,1772679329448000000,1772679337336000000,0
StorageLockContext.competingThreads.avg,1772679329448000000,1772679337336000000,0.0
DirectByteBufferAllocator.disposed,1772679329448000000,1772679337336000000,148
FilePageCacheLockFree.housekeeperTurnsDone,1772679329448000000,1772679337336000000,0
MappedFileStorage.totalBytesMapped,1772679329448000000,1772679337336000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1772679329448000000,1772679337336000000,0
FilePageCacheLockFree.totalBytesRead,1772679329448000000,1772679337336000000,0
FilePageCacheLockFree.nativeBytesInUse,1772679329448000000,1772679337336000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1772679329448000000,1772679337336000000,0
FilePageCache.totalPageDisposalsUs,1772679329448000000,1772679337336000000,599
FilePageCacheLockFree.totalNativeBytesAllocated,1772679329448000000,1772679337336000000,0
DirectByteBufferAllocator.reclaimed,1772679329448000000,1772679337336000000,43
FilePageCache.pageFastCacheHits,1772679329448000000,1772679337336000000,3776
StorageLockContext.competingThreads.max,1772679329448000000,1772679337336000000,0
FilePageCache.capacityInBytes,1772679329448000000,1772679337336000000,503316478
FilePageCache.maxCacheSizeInBytes,1772679329448000000,1772679337336000000,197132288
FilePageCache.maxRegisteredFiles,1772679329448000000,1772679337336000000,521
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772679329448000000,1772679337336000000,41943040
MappedFileStorage.storages,1772679329448000000,1772679337336000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1772679329448000000,1772679337336000000,0
FilePageCacheLockFree.totalPagesReadMs,1772679329448000000,1772679337336000000,0
FilePageCacheLockFree.totalPagesAllocated,1772679329448000000,1772679337336000000,0
MappedFileStorage.totalPagesMapped,1772679329448000000,1772679337336000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1772679329448000000,1772679337336000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1772679329448000000,1772679337336000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1772679329448000000,1772679337336000000,0
FilePageCache.pageHits,1772679329448000000,1772679337336000000,0
FilePageCacheLockFree.totalPagesWriteMs,1772679329448000000,1772679337336000000,0
FilePageCacheLockFree.totalBytesWritten,1772679329448000000,1772679337336000000,0
DirectByteBufferAllocator.misses,1772679329448000000,1772679337336000000,188
FilePageCacheLockFree.totalClosedStoragesReclaimed,1772679329448000000,1772679337336000000,0
DirectByteBufferAllocator.hits,1772679329448000000,1772679337336000000,3
FilePageCacheLockFree.housekeeperTurnsSkipped,1772679329448000000,1772679337336000000,0
FilePageCacheLockFree.totalPagesReclaimed,1772679329448000000,1772679337336000000,0
jps.global.get.library.by.name.ms,1772679329448000000,1772679337336000000,0
