# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileChildByName,1772678252173000000,1772678261992000000,48
VFS.invertedFileNameIndex.requests,1772678252173000000,1772678261992000000,0
VFS.fileByIdCache.hits,1772678252173000000,1772678261992000000,0
VFS.fileByIdCache.misses,1772678252173000000,1772678261992000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1772678252173000000,1772678261992000000,0
FilePageCacheLockFree.totalPagesHandedOver,1772678252173000000,1772678261992000000,0
FilePageCacheLockFree.totalBytesWritten,1772678252173000000,1772678261992000000,0
FilePageCache.uncachedFileAccess,1772678252173000000,1772678261992000000,123
FilePageCacheLockFree.totalNativeBytesAllocated,1772678252173000000,1772678261992000000,0
FilePageCache.capacityInBytes,1772678252173000000,1772678261992000000,503316478
FilePageCache.maxCacheSizeInBytes,1772678252173000000,1772678261992000000,197132288
FilePageCacheLockFree.totalPagesWriteMs,1772678252173000000,1772678261992000000,0
FilePageCacheLockFree.totalPagesWritten,1772678252173000000,1772678261992000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1772678252173000000,1772678261992000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1772678252173000000,1772678261992000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1772678252173000000,1772678261992000000,15076
FilePageCache.pageLoadsAboveSizeThreshold,1772678252173000000,1772678261992000000,0
StorageLockContext.competingThreads.avg,1772678252173000000,1772678261992000000,0.0
FilePageCache.disposedBuffers,1772678252173000000,1772678261992000000,191
FilePageCacheLockFree.totalPagesRequested,1772678252173000000,1772678261992000000,0
FilePageCacheLockFree.totalPagesReclaimed,1772678252173000000,1772678261992000000,0
MappedFileStorage.storages,1772678252173000000,1772678261992000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1772678252173000000,1772678261992000000,0
StorageLockContext.competingThreads.max,1772678252173000000,1772678261992000000,0
FilePageCache.pageHits,1772678252173000000,1772678261992000000,0
FilePageCache.totalPageDisposalsUs,1772678252173000000,1772678261992000000,738
DirectByteBufferAllocator.hits,1772678252173000000,1772678261992000000,3
MappedFileStorage.totalPagesMapped,1772678252173000000,1772678261992000000,0
FilePageCacheLockFree.totalBytesRequested,1772678252173000000,1772678261992000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1772678252173000000,1772678261992000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1772678252173000000,1772678261992000000,0
FilePageCacheLockFree.totalPagesReadMs,1772678252173000000,1772678261992000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1772678252173000000,1772678261992000000,0
FilePageCache.pageLoads,1772678252173000000,1772678261992000000,191
FilePageCacheLockFree.nativeBytesInUse,1772678252173000000,1772678261992000000,0
FilePageCache.totalPageLoadsUs,1772678252173000000,1772678261992000000,167818
DirectByteBufferAllocator.misses,1772678252173000000,1772678261992000000,188
FilePageCacheLockFree.totalHeapBytesReclaimed,1772678252173000000,1772678261992000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1772678252173000000,1772678261992000000,0
FilePageCache.pageFastCacheHits,1772678252173000000,1772678261992000000,3776
StorageLockContext.competingThreads.90P,1772678252173000000,1772678261992000000,0
FilePageCacheLockFree.totalBytesRead,1772678252173000000,1772678261992000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1772678252173000000,1772678261992000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772678252173000000,1772678261992000000,41943040
FilePageCacheLockFree.heapBytesInUse,1772678252173000000,1772678261992000000,0
MappedFileStorage.totalBytesMapped,1772678252173000000,1772678261992000000,0
FilePageCache.maxRegisteredFiles,1772678252173000000,1772678261992000000,521
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772678252173000000,1772678261992000000,41943040
FilePageCacheLockFree.totalPagesAllocated,1772678252173000000,1772678261992000000,0
